model,lab,frame,subset,axis_id,axis_name,score,run_sd
kimi,Moonshot,irrelevant,b12,moral_agent,Moral Agent,-0.4781,0.1605
kimi,Moonshot,irrelevant,b12,authority,Authority,0.0157,0.0601
kimi,Moonshot,irrelevant,b12,domain_boundary,Moral Domain,-0.4422,0.0737
kimi,Moonshot,irrelevant,b12,scope,Obligation Scope,0.1811,0.0582
kimi,Moonshot,irrelevant,all48,moral_agent,Moral Agent,-0.4489,0.0224
kimi,Moonshot,irrelevant,all48,authority,Authority,-0.0535,0.034
kimi,Moonshot,irrelevant,all48,domain_boundary,Moral Domain,-0.5282,0.0298
kimi,Moonshot,irrelevant,all48,scope,Obligation Scope,-0.0071,0.0242
kimi,Moonshot,neutral,b12,moral_agent,Moral Agent,-0.1523,0.035
kimi,Moonshot,neutral,b12,authority,Authority,0.1413,0.0387
kimi,Moonshot,neutral,b12,domain_boundary,Moral Domain,0.2637,0.0272
kimi,Moonshot,neutral,b12,scope,Obligation Scope,0.3304,0.0491
kimi,Moonshot,neutral,all48,moral_agent,Moral Agent,-0.017,0.0104
kimi,Moonshot,neutral,all48,authority,Authority,0.0707,0.0217
kimi,Moonshot,neutral,all48,domain_boundary,Moral Domain,0.0232,0.0158
kimi,Moonshot,neutral,all48,scope,Obligation Scope,0.1623,0.0192
kimi,Moonshot,nonsense_color,b12,moral_agent,Moral Agent,-0.3893,0.0576
kimi,Moonshot,nonsense_color,b12,authority,Authority,0.135,0.0414
kimi,Moonshot,nonsense_color,b12,domain_boundary,Moral Domain,-0.2671,0.1859
kimi,Moonshot,nonsense_color,b12,scope,Obligation Scope,0.0243,0.1265
kimi,Moonshot,nonsense_color,all48,moral_agent,Moral Agent,-0.1748,0.0192
kimi,Moonshot,nonsense_color,all48,authority,Authority,0.0761,0.0364
kimi,Moonshot,nonsense_color,all48,domain_boundary,Moral Domain,-0.3931,0.0796
kimi,Moonshot,nonsense_color,all48,scope,Obligation Scope,0.0328,0.0516
kimi,Moonshot,nonsense_geometry,b12,moral_agent,Moral Agent,-0.531,0.0608
kimi,Moonshot,nonsense_geometry,b12,authority,Authority,0.131,0.0344
kimi,Moonshot,nonsense_geometry,b12,domain_boundary,Moral Domain,-0.2081,0.0401
kimi,Moonshot,nonsense_geometry,b12,scope,Obligation Scope,0.2113,0.2035
kimi,Moonshot,nonsense_geometry,all48,moral_agent,Moral Agent,-0.3449,0.0444
kimi,Moonshot,nonsense_geometry,all48,authority,Authority,0.0469,0.0514
kimi,Moonshot,nonsense_geometry,all48,domain_boundary,Moral Domain,-0.4556,0.0344
kimi,Moonshot,nonsense_geometry,all48,scope,Obligation Scope,0.1004,0.0667
llama33,Meta,collectivist,b12,moral_agent,Moral Agent,-0.6088,0.0312
llama33,Meta,collectivist,b12,authority,Authority,0.0647,0.0475
llama33,Meta,collectivist,b12,domain_boundary,Moral Domain,-0.4789,0.0819
llama33,Meta,collectivist,b12,scope,Obligation Scope,-0.0804,0.0355
llama33,Meta,collectivist,all48,moral_agent,Moral Agent,-0.3644,0.0164
llama33,Meta,collectivist,all48,authority,Authority,0.0281,0.0239
llama33,Meta,collectivist,all48,domain_boundary,Moral Domain,-0.4051,0.0206
llama33,Meta,collectivist,all48,scope,Obligation Scope,0.0197,0.0203
llama33,Meta,egalitarian,b12,moral_agent,Moral Agent,-0.0711,0.0369
llama33,Meta,egalitarian,b12,authority,Authority,0.3067,0.0294
llama33,Meta,egalitarian,b12,domain_boundary,Moral Domain,0.2887,0.033
